2025-05-22 17:02:14,542 - root - INFO - Step: 85 | Loss: 7.53 | Tokens per second: 6463.27 | Training tokens per second (%): 94.64 | MFU (%): 29.74 | TFLOPs: 294.09
2025-05-22 17:02:14,999 - root - INFO - Step: 85 | Loss: 7.53 | Tokens per second: 6548.93 | Training tokens per second (%): 94.64 | MFU (%): 30.13 | TFLOPs: 297.99
2025-05-22 17:02:15,006 - root - INFO - Step: 80 | Loss: 7.15 | Tokens per second: 6545.45 | Training tokens per second (%): 92.67 | MFU (%): 30.11 | TFLOPs: 297.83
2025-05-22 17:02:15,625 - root - INFO - Step: 90 | Loss: 6.97 | Tokens per second: 6560.77 | Training tokens per second (%): 95.39 | MFU (%): 30.18 | TFLOPs: 298.52
2025-05-22 17:02:16,156 - root - INFO - Step: 90 | Loss: 6.97 | Tokens per second: 6510.58 | Training tokens per second (%): 95.39 | MFU (%): 29.95 | TFLOPs: 296.24
2025-05-22 17:02:16,594 - root - INFO - Step: 90 | Loss: 6.97 | Tokens per second: 6589.32 | Training tokens per second (%): 95.39 | MFU (%): 30.32 | TFLOPs: 299.82
2025-05-22 17:02:16,616 - root - INFO - Step: 85 | Loss: 7.53 | Tokens per second: 6522.88 | Training tokens per second (%): 94.64 | MFU (%): 30.01 | TFLOPs: 296.80
2025-05-22 17:02:17,228 - root - INFO - Step: 95 | Loss: 7.41 | Tokens per second: 6554.85 | Training tokens per second (%): 92.58 | MFU (%): 30.16 | TFLOPs: 298.26
2025-05-22 17:02:17,820 - root - INFO - Step: 95 | Loss: 7.41 | Tokens per second: 6308.42 | Training tokens per second (%): 92.58 | MFU (%): 29.02 | TFLOPs: 287.04
2025-05-22 17:02:18,201 - root - INFO - Step: 95 | Loss: 7.41 | Tokens per second: 6520.68 | Training tokens per second (%): 92.58 | MFU (%): 30.00 | TFLOPs: 296.70
2025-05-22 17:02:18,245 - root - INFO - Step: 90 | Loss: 6.97 | Tokens per second: 6416.25 | Training tokens per second (%): 95.39 | MFU (%): 29.52 | TFLOPs: 291.95
2025-05-22 17:02:18,849 - root - INFO - Step: 100 | Loss: 7.05 | Tokens per second: 6479.63 | Training tokens per second (%): 97.37 | MFU (%): 29.81 | TFLOPs: 294.83
