2025-05-22 16:03:25,197 - root - INFO - Step: 65 | Loss: 8.54 | Tokens per second: 8175.57 | Training tokens per second (%): 24.18 | MFU (%): 42.61 | TFLOPs: 421.38
2025-05-22 16:03:25,197 - root - INFO - Step: 65 | Loss: 8.54 | Tokens per second: 8174.27 | Training tokens per second (%): 24.18 | MFU (%): 42.60 | TFLOPs: 421.31
2025-05-22 16:03:25,203 - root - INFO - Step: 65 | Loss: 8.54 | Tokens per second: 8173.03 | Training tokens per second (%): 24.18 | MFU (%): 42.59 | TFLOPs: 421.25
2025-05-22 16:03:27,751 - root - INFO - Step: 70 | Loss: 7.86 | Tokens per second: 8010.47 | Training tokens per second (%): 26.25 | MFU (%): 41.75 | TFLOPs: 412.87
2025-05-22 16:03:27,761 - root - INFO - Step: 70 | Loss: 7.86 | Tokens per second: 7993.00 | Training tokens per second (%): 26.25 | MFU (%): 41.66 | TFLOPs: 411.97
2025-05-22 16:03:27,762 - root - INFO - Step: 70 | Loss: 7.86 | Tokens per second: 7989.43 | Training tokens per second (%): 26.25 | MFU (%): 41.64 | TFLOPs: 411.79
2025-05-22 16:03:27,765 - root - INFO - Step: 70 | Loss: 7.86 | Tokens per second: 7997.75 | Training tokens per second (%): 26.25 | MFU (%): 41.68 | TFLOPs: 412.21
2025-05-22 16:03:30,290 - root - INFO - Step: 75 | Loss: 8.20 | Tokens per second: 8072.33 | Training tokens per second (%): 16.89 | MFU (%): 42.07 | TFLOPs: 416.06
2025-05-22 16:03:30,299 - root - INFO - Step: 75 | Loss: 8.20 | Tokens per second: 8076.33 | Training tokens per second (%): 16.89 | MFU (%): 42.09 | TFLOPs: 416.26
2025-05-22 16:03:30,300 - root - INFO - Step: 75 | Loss: 8.20 | Tokens per second: 8069.05 | Training tokens per second (%): 16.89 | MFU (%): 42.05 | TFLOPs: 415.89
2025-05-22 16:03:30,302 - root - INFO - Step: 75 | Loss: 8.20 | Tokens per second: 8074.20 | Training tokens per second (%): 16.89 | MFU (%): 42.08 | TFLOPs: 416.15
